true_grade,pred_grade,count,pct_of_true
PSA_9,PSA_8,568,40.804597701149426
PSA_6,PSA_8,495,31.64961636828644
PSA_7,PSA_8,364,24.010554089709764
PSA_10,PSA_8,337,26.38997650743931
PSA_3,PSA_2,323,26.132686084142392
PSA_4,PSA_5,311,27.967625899280574
PSA_1,PSA_2,194,20.66027689030884
PSA_9,PSA_10,193,13.864942528735632
PSA_6,PSA_2,190,12.148337595907927
PSA_7,PSA_3,169,11.147757255936677
PSA_7,PSA_6,147,9.696569920844327
PSA_6,PSA_3,140,8.951406649616368
PSA_6,PSA_7,106,6.7774936061381075
PSA_6,PSA_5,91,5.818414322250639
PSA_10,PSA_9,89,6.9694596711041505
PSA_2,PSA_3,86,11.300919842312746
PSA_7,PSA_2,80,5.277044854881266
PSA_7,PSA_5,76,5.013192612137203
PSA_8,PSA_10,75,6.504770164787511
PSA_5,PSA_4,65,8.666666666666668
PSA_3,PSA_1,63,5.097087378640777
PSA_7,PSA_10,60,3.95778364116095
PSA_4,PSA_2,60,5.39568345323741
PSA_5,PSA_3,56,7.466666666666668
PSA_9,PSA_3,55,3.9511494252873565
PSA_6,PSA_1,54,3.4526854219948846
PSA_3,PSA_5,51,4.12621359223301
PSA_5,PSA_2,49,6.533333333333332
PSA_9,PSA_7,49,3.5201149425287355
PSA_9,PSA_5,47,3.3764367816091956
PSA_8,PSA_6,47,4.076322636600174
PSA_7,PSA_1,45,2.9683377308707124
PSA_6,PSA_10,43,2.749360613810742
PSA_3,PSA_8,43,3.4789644012944985
PSA_8,PSA_5,42,3.6426712922810056
PSA_3,PSA_6,41,3.3171521035598706
PSA_2,PSA_1,40,5.256241787122208
PSA_9,PSA_6,39,2.8017241379310347
PSA_8,PSA_3,35,3.0355594102341716
PSA_8,PSA_2,33,2.8620988725065044
PSA_10,PSA_6,32,2.505873140172279
PSA_6,PSA_9,32,2.0460358056265986
PSA_1,PSA_5,32,3.407880724174654
PSA_7,PSA_9,31,2.044854881266491
PSA_1,PSA_3,30,3.1948881789137378
PSA_2,PSA_5,29,3.8107752956636007
PSA_5,PSA_1,28,3.733333333333334
PSA_9,PSA_2,28,2.0114942528735633
PSA_8,PSA_9,27,2.3417172593235036
PSA_10,PSA_7,27,2.11433046202036
PSA_8,PSA_7,24,2.0815264527320037
PSA_4,PSA_8,24,2.158273381294964
PSA_5,PSA_8,22,2.933333333333333
PSA_10,PSA_2,22,1.7227877838684416
PSA_9,PSA_4,21,1.5086206896551724
PSA_2,PSA_8,21,2.759526938239159
PSA_4,PSA_3,21,1.8884892086330936
PSA_9,PSA_1,18,1.293103448275862
PSA_10,PSA_5,18,1.4095536413469067
PSA_6,PSA_4,17,1.0869565217391304
PSA_10,PSA_4,17,1.331245105716523
PSA_1,PSA_8,15,1.5974440894568689
PSA_3,PSA_4,14,1.132686084142395
PSA_8,PSA_4,13,1.1274934952298352
PSA_7,PSA_4,13,0.8575197889182058
PSA_1,PSA_4,13,1.384451544195953
PSA_1,PSA_6,13,1.384451544195953
PSA_2,PSA_4,12,1.5768725361366622
PSA_3,PSA_7,12,0.9708737864077669
PSA_5,PSA_6,12,1.6
PSA_10,PSA_3,11,0.8613938919342208
PSA_4,PSA_1,10,0.8992805755395683
PSA_2,PSA_6,10,1.314060446780552
PSA_4,PSA_6,9,0.8093525179856115
PSA_5,PSA_10,5,0.6666666666666667
PSA_1,PSA_9,4,0.42598509052183176
PSA_3,PSA_9,4,0.3236245954692557
PSA_8,PSA_1,4,0.3469210754553339
PSA_3,PSA_10,4,0.3236245954692557
PSA_2,PSA_9,3,0.39421813403416556
PSA_1,PSA_7,2,0.21299254526091588
PSA_5,PSA_9,2,0.26666666666666666
PSA_5,PSA_7,2,0.26666666666666666
PSA_4,PSA_9,2,0.1798561151079137
PSA_10,PSA_1,1,0.07830853563038372
