"grade","accuracy","correct","total","change"
"PSA_1",68.6977299880526,575,837,-1.90227001194742
"PSA_2",46.319018404908,302,652,11.819018404908
"PSA_3",63.7732506643047,720,1129,-5.62674933569532
"PSA_4",66.9772256728779,647,966,-7.42277432712216
"PSA_5",45.2076677316294,283,626,18.2076677316294
"PSA_6",50.5602240896359,722,1428,-6.33977591036415
"PSA_7",44.6886446886447,610,1365,-2.41135531135531
"PSA_8",43.5084241823588,439,1009,14.8084241823588
"PSA_9",42.7856547122602,513,1199,-7.41434528773978
"PSA_10",63.2311977715877,681,1077,-2.06880222841225
